feature,score
vocab13830,0.00011239947407968299
vocab11397,0.00011214320332826322
is_new_burst_start_Input_1.0_time_window,0.00011208380431300124
vocab479,0.00011175182231679682
vocab10828,0.00011174810987835126
vocab5012,0.00011121993113478723
vocab977,0.00011064900309991632
vocab4348,0.00011059837893920844
vocab6550,0.00011054336735125681
vocab4768,0.00011026493446726348
vocab2588,0.00011011531194777824
vocab4751,0.00010968871902006239
vocab3471,0.00010967240679051748
vocab2275,0.00010935099961897343
vocab15376,0.00010924828882175053
vocab5451,0.00010892609416328636
vocab16957,0.0001089227192192066
vocab17133,0.00010851333850616651
vocab6857,0.00010802442161170767
vocab6464,0.00010796176015053227
vocab491,0.00010781427509563014
vocab595,0.00010759692869892757
vocab280,0.00010757994148054006
vocab12570,0.0001074536060750031
vocab2573,0.00010734335790274496
vocab8422,0.0001073258081936812
vocab9420,0.00010727518403297331
vocab2752,0.00010717179824695222
vocab4753,0.00010714963611440087
vocab13017,0.00010709001210287283
vocab4327,0.00010697121407232668
vocab5353,0.00010687379068747837
vocab5037,0.00010684634114257462
vocab3095,0.00010659997022701705
vocab5111,0.00010656599579030867
vocab4918,0.00010633706208569293
is_new_burst_start_Input_0.0_time_window,0.00010624987603109481
vocab2589,0.00010609834104333694
vocab10977,0.00010604434193857148
vocab764,0.00010597493058930318
vocab2992,0.00010573227211223557
n_paragraphs_with_n_sentences_geq2_lt3,0.0001053545033750547
vocab7624,0.00010534381605227238
vocab3621,0.00010500710913436961
vocab3166,0.00010473385116458456
activity_Nonproduction_3.0_time_window,0.0001046546524775982
vocab608,0.00010443944354541213
